Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,49,24,678,87,149,.584,11,29,.379,76,120,.633,.621,38,51,.745,51,94,145,20,21,18,20,87,223
2,Jordan Adams,SG,21,MEM,2,0,15,2,6,.333,0,1,.000,2,5,.400,.333,3,5,.600,0,2,2,3,3,0,2,2,7
3,Steven Adams,C,22,OKC,71,71,1757,225,367,.613,0,0,,225,367,.613,.613,100,169,.592,184,273,457,51,35,78,72,194,550
4,Arron Afflalo,SG,30,NYK,63,57,2141,331,730,.453,83,213,.390,248,517,.480,.510,103,123,.837,20,221,241,130,22,9,72,128,848
5,Alexis Ajinca,C,27,NOP,51,11,651,103,222,.464,0,1,.000,103,221,.466,.464,38,46,.826,56,147,203,23,14,27,32,111,244
6,Cole Aldrich,C,27,LAC,49,2,591,98,178,.551,0,0,,98,178,.551,.551,47,69,.681,63,142,205,39,31,52,49,113,243
7,LaMarcus Aldridge,PF,30,SAS,67,67,2041,485,949,.511,0,16,.000,485,933,.520,.511,231,269,.859,157,416,573,102,30,76,89,143,1201
8,Cliff Alexander,PF,20,POR,7,0,31,5,10,.500,0,0,,5,10,.500,.500,0,0,,2,4,6,0,1,2,1,0,10
9,Lavoy Allen,PF,26,IND,69,21,1413,161,319,.505,0,0,,161,319,.505,.505,35,57,.614,138,232,370,70,23,40,60,130,357
10,Tony Allen,SF,34,MEM,58,51,1478,189,412,.459,15,38,.395,174,374,.465,.477,80,125,.640,90,179,269,63,97,16,67,162,473
11,Al-Farouq Aminu,SF,25,POR,74,74,2110,260,641,.406,106,307,.345,154,334,.461,.488,100,137,.730,91,357,448,122,62,45,105,156,726
12,Lou Amundson,PF,33,NYK,26,0,191,19,49,.388,0,0,,19,49,.388,.388,12,25,.480,21,25,46,12,5,7,11,41,50
