Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
DeMarcus Cousins,Kings,2015-2016,REG,62,3.63,28,39,41,0,4,123,26,14,0,0
Isaiah Thomas,Celtics,2015-2016,REG,74,2.08,6,24,15,0,0,76,11,11,0,0
Kyle Lowry,Raptors,2015-2016,REG,71,2.75,4,32,18,0,1,105,13,11,1,0
John Wall,Wizards,2015-2016,REG,73,2.04,7,14,15,2,1,86,2,11,0,0
Draymond Green,Warriors,2015-2016,REG,72,2.96,9,26,19,1,2,131,21,10,1,0
Andre Drummond,Pistons,2015-2016,REG,74,3.09,2,5,27,0,9,129,36,10,0,0
Dwight Howard,Rockets,2015-2016,REG,63,3.24,0,1,37,0,11,110,24,10,4,0
Chris Paul,Clippers,2015-2016,REG,68,2.59,4,18,13,1,0,101,12,9,0,0
Marcus Morris,Pistons,2015-2016,REG,73,2.11,6,18,14,0,0,88,12,9,2,0
Kevin Durant,Thunder,2015-2016,REG,67,1.88,0,6,15,0,0,83,2,7,0,0
Zaza Pachulia,Mavericks,2015-2016,REG,68,2.43,2,11,24,0,3,63,28,7,2,0
DeAndre Jordan,Clippers,2015-2016,REG,71,2.75,1,9,15,1,8,142,13,7,0,0
Markieff Morris,"Suns, Wizards",2015-2016,REG,57,2.89,6,11,32,0,1,84,10,7,0,1
Paul George,Pacers,2015-2016,REG,73,2.96,12,32,28,1,0,112,17,6,0,0
Kemba Walker,Hornets,2015-2016,REG,72,1.42,19,47,3,0,1,72,1,6,0,0
Khris Middleton,Bucks,2015-2016,REG,74,2.61,3,9,22,0,2,106,4,5,0,0
Reggie Jackson,Pistons,2015-2016,REG,73,2.34,4,20,18,0,0,92,5,5,1,0
Marcus Smart,Celtics,2015-2016,REG,53,3.09,10,41,7,0,1,101,10,5,0,0
Amar'e Stoudemire,Heat,2015-2016,REG,45,1.69,2,3,5,0,6,41,11,5,0,0
Kent Bazemore,Hawks,2015-2016,REG,69,2.22,10,27,11,0,2,80,9,5,0,0
Blake Griffin,Clippers,2015-2016,REG,30,2.83,5,11,11,0,2,50,5,5,0,1
Kenneth Faried,Nuggets,2015-2016,REG,62,2.53,3,13,20,0,2,89,20,5,0,0
DeMar DeRozan,Raptors,2015-2016,REG,72,2.22,0,8,17,1,3,81,11,5,1,0
Carmelo Anthony,Knicks,2015-2016,REG,67,2.51,1,7,26,0,2,87,10,5,1,0
Matt Barnes,Grizzlies,2015-2016,REG,68,3.1,0,5,9,1,2,148,8,5,3,0
Patrick Beverley,Rockets,2015-2016,REG,63,3.25,3,23,5,0,0,89,5,5,0,0
Derrick Rose,Bulls,2015-2016,REG,61,1.33,6,14,6,0,0,49,2,5,0,0
Aaron Brooks,Bulls,2015-2016,REG,61,1.98,4,10,4,0,0,75,1,4,0,0
Robin Lopez,Knicks,2015-2016,REG,75,2.28,0,5,21,0,8,122,9,4,0,0
Russell Westbrook,Thunder,2015-2016,REG,74,2.5,4,20,24,1,1,81,9,4,0,0
Dirk Nowitzki,Mavericks,2015-2016,REG,67,2.15,3,13,7,0,6,107,4,4,1,0
Evan Turner,Celtics,2015-2016,REG,74,1.62,0,9,7,0,0,77,13,4,0,0
PJ Hairston,"Hornets, Grizzlies",2015-2016,REG,62,2.18,6,15,9,1,3,86,4,4,1,0
PJ Tucker,Suns,2015-2016,REG,74,2.46,7,20,13,0,0,103,8,4,0,0
J.R. Smith,Cavaliers,2015-2016,REG,69,2.72,2,14,8,1,0,113,4,4,1,1
Rudy Gobert,Jazz,2015-2016,REG,54,2.74,0,3,18,0,5,86,22,4,1,0
Dion Waiters,Thunder,2015-2016,REG,70,1.87,0,11,6,0,0,68,1,4,0,0
Lance Stephenson,"Clippers, Grizzlies",2015-2016,REG,62,1.97,0,6,9,1,0,66,9,4,0,0
Mario Chalmers,"Heat, Grizzlies",2015-2016,REG,61,2.97,5,38,7,0,0,112,9,4,0,1
Wesley Matthews,Mavericks,2015-2016,REG,70,2.29,3,19,5,0,2,81,4,4,0,0
O.J. Mayo,Bucks,2015-2016,REG,41,3.07,2,10,9,0,2,66,3,4,2,0
Dwyane Wade,Heat,2015-2016,REG,67,1.58,1,6,9,0,0,63,10,4,1,0
LeBron James,Cavaliers,2015-2016,REG,70,1.89,5,17,28,0,0,62,8,4,0,0
Quincy Acy,Kings,2015-2016,REG,51,1.78,6,10,4,0,1,54,5,3,0,0
Channing Frye,"Magic, Cavaliers",2015-2016,REG,61,1.8,0,6,11,0,2,66,1,3,0,0
Marc Gasol,Grizzlies,2015-2016,REG,52,2.71,10,17,22,0,5,85,17,3,1,0
Paul Millsap,Hawks,2015-2016,REG,74,2.88,5,14,24,0,3,131,20,3,0,0
Spencer Hawes,Hornets,2015-2016,REG,50,2,0,5,10,0,4,77,5,3,0,0
Jae Crowder,Celtics,2015-2016,REG,66,2.68,6,15,13,0,2,121,12,3,0,0
Jared Sullinger,Celtics,2015-2016,REG,73,2.68,7,16,26,0,4,129,12,3,1,0
Giannis Antetokounmpo,Bucks,2015-2016,REG,72,3.25,1,8,26,0,10,134,15,3,1,0
Austin Rivers,Clippers,2015-2016,REG,60,2.07,1,7,0,1,0,70,1,3,0,0
Jamal Crawford,Clippers,2015-2016,REG,73,1.56,2,10,7,1,0,56,3,3,0,0
Kosta Koufos,Kings,2015-2016,REG,71,2.31,0,4,14,0,4,106,19,3,0,0
Nicolas Batum,Hornets,2015-2016,REG,64,1.66,2,6,16,0,0,51,9,3,0,0
Serge Ibaka,Thunder,2015-2016,REG,73,2.71,0,4,18,1,4,131,19,3,0,0
Devin Booker,Suns,2015-2016,REG,68,2.9,0,0,14,2,0,132,3,3,0,0
