name,CIS.years,CIS,EU.years,EU,NATO.years,NATO,EURASEC.years,EURASEC,EACU.years,EACU,CSTO.years,CSTO,IT,gdp.1991,gdp.1992,gdp.1993,gdp.994,gdp.1995,gdp.1996,gdp.1997,gdp.1998,gdp.1999,gdp.2000,gdp.2001,gdp.2002,gdp.2003,gdp.2004,gdp.2005,gdp.2006,gdp.2007,gdp.2008,gdp.2009,gdp.2010,gdp.2011,gdp.2012,gdp.2013,gdp.2014,avg.gdp
Armenia,24,1992,0,NA,0,NA,0,NA,1,2015,22,1994,6,589.0,368.9,356.5,399.8,455.6,503.2,522.5,608.3,596.5,621.4,692.3,779.8,924.5,1182.0,1625.4,2126.6,3081.0,3920.0,2915.6,3124.8,3417.2,3565.5,3716.8,3873.5,1665.3
Azerbijan,23,1993,0,NA,0,NA,0,NA,0,NA,5,1994-1999,4,1209.2,676.2,530.1,436.2,397.2,409.2,505.6,561.9,573.9,655.1,703.7,763.1,883.6,1045.0,1578.4,2473.1,3851.4,5574.6,4950.3,5842.8,7189.7,7393.8,7811.6,7884.2,2662.5
Belarus,25,1991,0,NA,0,NA,14,2000,6,2010,22,1994,7,1747.4,1666.2,1590.0,1460.0,1370.7,1452.4,1396.5,1511.8,1209.6,1273.0,1244.4,1479.5,1819.5,2378.4,3126.4,3848.6,4736.0,6376.2,5176.0,5818.9,6305.8,6721.8,7722.1,8040.0,3311.3
Estonia,0,NA,12,2004,12,2004,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,3044.4,3352.7,3619.9,4052.3,4148.1,4070.0,4499.0,5308.3,7174.2,8850.5,10338.3,12595.4,16586.4,18094.5,14726.3,14641.4,17453.8,17491.0,19155.4,20161.6,10468.2
Georgia,15,1993-2008,0,NA,0,NA,0,NA,0,NA,5,1994-1999,4,1314.7,757.2,550.0,527.1,569.0,670.5,774.7,805.3,628.9,692.0,734.0,779.4,922.0,1186.9,1469.9,1761.1,2318.1,2918.7,2441.0,2613.8,3219.6,3528.7,3596.9,3670.0,1602.1
Kazakhstan,25,1991,0,NA,0,NA,14,2000,6,2010,22,1994,10,1512.5,1515.1,1433.5,1320.3,1288.2,1350.3,1445.6,1468.7,1130.1,1229.0,1490.9,1658.0,2068.1,2874.3,3771.3,5291.6,6771.4,8513.6,7165.3,9070.6,11357.9,12120.3,13611.5,12601.7,4669.2
Kyrgyzstan,24,1992,0,NA,0,NA,14,2000,1,2015,22,1994,9,576.0,513.0,449.1,372.3,364.2,394.9,376.4,345.1,258.0,279.6,308.4,321.7,380.5,433.2,476.6,543.1,721.8,966.4,871.2,880.0,1123.9,1178.0,1282.4,1269.1,611.9
Latvia,0,NA,12,2004,12,2004,0,NA,0,NA,0,NA,64,NA,NA,NA,NA,2327.9,2428.2,2681.1,2976.0,3150.1,3351.5,3571.5,4128.6,5129.0,6345.0,7550.1,9651.7,14019.4,16323.8,12207.6,11319.5,13781.2,13775.3,15025.8,15719.2,8273.1
Lithuania,0,NA,12,2004,12,2004,0,NA,0,NA,0,NA,64,NA,NA,NA,NA,2168.8,2328.2,2830.7,3166.9,3113.5,3297.4,3530.1,4147.0,5505.5,6707.0,7863.2,9240.6,12297.9,14961.6,11837.4,11988.8,14367.2,14342.5,15692.0,16506.9,8294.7
Moldova,22,1994,0,NA,0,NA,0,NA,0,NA,0,NA,4,832.4,626.1,640.8,461.2,477.0,462.2,528.2,448.8,321.0,354.0,407.7,458.7,548.3,720.9,831.2,950.6,1230.4,1696.0,1525.5,1631.5,1970.6,2046.5,2244.0,2238.9,985.5
Russia,25,1991,0,NA,0,NA,14,2000,6,2010,22,1994,5,3485.1,3095.7,2929.5,2663.4,2665.7,2643.9,2737.6,1834.8,1330.8,1771.6,2100.4,2375.1,2975.1,4102.4,5323.5,6920.2,9101.3,11635.3,8562.8,10675.0,13323.9,14078.8,14487.3,12735.9,5981.5
Tajikistan,23,1993,0,NA,0,NA,14,2000,0,NA,22,1994,7,468.0,345.7,293.2,236.0,212.9,178.1,155.3,219.6,178.3,139.1,171.8,190.6,237.9,311.4,339.8,407.3,523.9,711.5,671.5,744.2,841.2,962.4,1048.7,1114.0,445.9
Turkmenistan,14,"1991-2005, current associate state",0,NA,0,NA,0,NA,0,NA,0,NA,6,847.5,824.5,796.4,625.3,592.7,557.5,565.1,592.8,550.8,645.3,776.6,970.0,1286.0,1455.9,1707.0,2140.5,2606.7,3918.9,4060.0,4392.7,5724.5,6797.7,7826.8,9031.5,2470.5
Ukraine,0,participating state 1991,0,NA,0,NA,0,NA,0,NA,0,NA,5,1489.7,1417.9,1258.1,1012.0,936.0,872.7,991.2,835.3,635.8,635.7,780.7,879.5,1048.5,1367.4,1828.7,2303.0,3068.6,3891.0,2545.5,2974.0,3569.8,3855.4,4029.7,3082.5,1887.9
Uzbekistan,24,1992,0,NA,0,NA,3,2005-2008,0,NA,11,"1994-1999, 2006-2012",5,652.8,603.4,597.0,576.4,585.9,600.6,623.0,623.2,702.5,558.2,456.7,383.3,396.1,465.1,546.8,643.0,830.4,1023.1,1181.8,1377.1,1544.8,1719.0,1878.0,2036.7,858.5
